original,cpp filter
0.00396277,0.0378417
0.0206302,0.197004
0.0170861,0.16316
0.0141507,0.13513
0.0117197,0.111915
0.00970631,0.0926884
0.00803881,0.0767649
0.00665777,0.0635771
0.005514,0.0526548
0.00456671,0.0436089
0.00378217,0.0361171
0.00313241,0.0299123
0.00259428,0.0247735
0.00214859,0.0205175
0.00177947,0.0169927
0.00147377,0.0140734
0.00122058,0.0116557
0.00101089,0.00965327
0.000837222,0.00799488
-0.0172085,-0.164329
-0.0142522,-0.136098
-0.0118037,-0.112717
-0.00977589,-0.0933528
-0.00809643,-0.0773152
-0.0067055,-0.0640328
-0.0234554,-0.223983
-0.0194259,-0.185504
-0.0160886,-0.153635
-0.0133247,-0.127241
-0.0110355,-0.105382
-0.00913968,-0.0872775
-0.00756952,-0.0722836
-0.00626911,-0.0598656
-0.0051921,-0.0495809
-0.00430012,-0.0410631
0.0143405,0.136942
0.0118769,0.113416
0.0098365,0.0939317
0.00814663,0.0777946
0.024649,0.235381
0.0204144,0.194943
0.0169073,0.161453
0.0140027,0.133716
0.0115971,0.110744
0.00960476,0.0917187
0.0258566,0.246913
0.0214146,0.204494
0.0177356,0.169363
0.0146887,0.140267
0.0121653,0.11617
0.0100753,0.0962122
0.00834442,0.0796834
0.00691089,0.0659941
0.00572363,0.0546566
0.00474033,0.0452668
0.00392596,0.0374902
0.0217248,0.207456
0.0179925,0.171816
0.0149015,0.142299
-0.00556045,-0.0530984
-0.00460519,-0.0439763
-0.00381404,-0.0364214
-0.0031588,-0.0301643
-0.00261613,-0.0249822
-0.00216669,-0.0206904
-0.00179446,-0.0171359
-0.00148618,-0.014192
-0.00123086,-0.0117539
-0.0010194,-0.0097346
-0.000844275,-0.00806223
-0.000699232,-0.00667717
-0.000579107,-0.00553006
-0.000479619,-0.00458002
-0.000397222,-0.00379319
-0.000328981,-0.00314154
-0.000272464,-0.00260184
-0.000225655,-0.00215485
-0.000186889,-0.00178466
-0.000154782,-0.00147806
-0.000128191,-0.00122414
-0.0185794,-0.17742
-0.0153876,-0.14694
-0.012744,-0.121697
-0.0105547,-0.10079
-0.00874142,-0.0834744
-0.00723968,-0.0691339
-0.0238979,-0.228208
-0.0197923,-0.189003
-0.0163921,-0.156533
-0.013576,-0.129641
-0.0112437,-0.107369
-0.00931207,-0.0889237
-0.00771229,-0.073647
-0.00638735,-0.0609947
-0.0237633,-0.226923
-0.0196809,-0.187938
-0.0162998,-0.155651
-0.0134995,-0.128911
-0.0111804,-0.106765
-0.00925963,-0.088423
-0.00766887,-0.0732323
-0.00635139,-0.0606513
-0.00526025,-0.0502316
-0.00435656,-0.0416021
-0.00360812,-0.034455
-0.00298826,-0.0285358
-0.00247489,-0.0236334
-0.020523,-0.19598
-0.0169972,-0.162311
-0.0140772,-0.134427
-0.0116588,-0.111333
-0.00965584,-0.0922065
-0.007997,-0.0763658
-0.00662315,-0.0632464
-0.00548532,-0.052381
-0.00454297,-0.0433821
-0.0037625,-0.0359293
-0.00311612,-0.0297568
-0.00258078,-0.0246447
-0.00213742,-0.0204108
-0.00177022,-0.0169043
-0.0014661,-0.0140002
-0.00121423,-0.0115951
-0.00100563,-0.00960307
0.0170691,0.162998
0.0141367,0.134995
0.011708,0.111804
0.00969665,0.0925962
-0.0104425,-0.0997181
-0.00864848,-0.0825869
-0.00716271,-0.0683988
0.0119697,0.114303
0.00991339,0.0946659
0.00821031,0.0784027
0.00679981,0.0649334
0.00563163,0.0537781
0.00466414,0.0445393
0.00386286,0.0368876
0.00319924,0.0305505
0.00264962,0.025302
0.00219443,0.0209552
0.0197194,0.188306
0.0163317,0.155956
0.0135259,0.129163
0.0112022,0.106974
0.00927775,0.088596
0.0250321,0.239039
0.0207317,0.197973
0.0171701,0.163962
0.0142203,0.135794
0.0117774,0.112465
0.00975405,0.0931443
0.00807835,0.0771425
0.00669052,0.0638898
0.00554112,0.0529138
0.00458918,0.0438234
0.00380078,0.0362947
0.00314782,0.0300595
0.00260704,0.0248954
0.00215916,0.0206184
0.00178822,0.0170763
0.00148101,0.0141427
0.00122658,0.011713
-0.0174574,-0.166706
-0.0144583,-0.138067
-0.0119744,-0.114347
-0.00991726,-0.0947029
-0.00821352,-0.0784333
-0.00680247,-0.0649588
-0.00563383,-0.0537991
-0.00466596,-0.0445567
-0.00386437,-0.036902
-0.00320049,-0.0305624
-0.00265066,-0.0253119
-0.00219529,-0.0209634
-0.0197201,-0.188313
-0.0163322,-0.155961
-0.0135264,-0.129168
-0.0112027,-0.106977
-0.00927808,-0.0885992
-0.00768415,-0.0733782
-0.00636404,-0.0607721
-0.00527072,-0.0503317
-0.00436524,-0.0416849
-0.00361531,-0.0345236
-0.00299421,-0.0285926
-0.00247982,-0.0236805
-0.0020538,-0.0196123
-0.0196029,-0.187194
-0.0162352,-0.155035
-0.0134461,-0.1284
-0.0111361,-0.106342
-0.00922295,-0.0880727
-0.00763849,-0.0729422
-0.00632623,-0.060411
-0.00523941,-0.0500326
-0.0043393,-0.0414372
-0.00359383,-0.0343185
-0.0208783,-0.199374
-0.0172915,-0.165122
-0.0143209,-0.136755
-0.0118606,-0.113261
-0.00982304,-0.0938031
-0.00813548,-0.0776881
-0.00673784,-0.0643416
-0.00558031,-0.053288
-0.00462163,-0.0441333
-0.00382765,-0.0365514
-0.00317008,-0.030272
-0.00262547,-0.0250714
-0.00217443,-0.0207643
-0.00180087,-0.017197
-0.00149149,-0.0142427
0.0166667,0.159155
0.0138034,0.131813
0.011432,0.109168
0.02737,0.261364
0.0226679,0.216463
0.0187737,0.179275
0.0155484,0.148477
0.0307792,0.29392
0.0254915,0.243426
0.0211121,0.201606
0.0174852,0.166971
0.0144813,0.138286
0.0119935,0.114529
0.00993304,0.0948535
0.00822658,0.0785581
0.00681329,0.0650621
0.0056428,0.0538847
0.00467339,0.0446276
0.00387052,0.0369607
0.00320558,0.030611
0.00265487,0.0253522
-0.0162745,-0.15541
-0.0313805,-0.299662
-0.0259895,-0.248181
-0.0215246,-0.205545
-0.0178268,-0.170233
-0.0147642,-0.140988
-0.0301297,-0.287717
-0.0249535,-0.238289
