Hip desired,Hip actual,Knee desired,Knee actual,Ankle desired,Ankle actual,deformation of ankle
-3.42379,-0.920388,-2.73786,-0.460194,0.0406344,0,-0.0122718
-3.42289,-0.920388,-2.73786,-0.460194,0.0423244,0,-0.0122718
-3.42214,-0.920388,-2.73786,-0.460194,0.0437241,0,-0.0122718
-3.42152,-0.920388,-2.73786,-0.460194,0.0448834,0,-0.0122718
-3.42101,-0.920388,-2.73786,-0.460194,0.0458435,0,-0.0122718
-3.42059,-0.920388,-2.73786,-0.460194,0.0466386,0,-0.0122718
-3.42024,-0.920388,-2.73786,-0.460194,0.0472972,0,-0.0122718
-3.41995,-0.920388,-2.73786,-0.460194,0.0478426,0,-0.0122718
-3.41971,-0.920388,-2.73786,-0.460194,0.0482943,0,-0.0122718
-3.41951,-0.920388,-2.73786,-0.460194,0.0486684,0,-0.0122718
-3.41934,-0.920388,-2.73786,-0.460194,0.0489782,0,-0.0122718
-3.41921,-0.920388,-2.73786,-0.460194,0.0492348,0,-0.0122718
-3.41909,-0.920388,-2.73786,-0.460194,0.0494474,0,-0.0122718
-3.419,-0.920388,-2.73786,-0.460194,0.0496234,0,-0.0122718
-3.41892,-0.920388,-2.73786,-0.460194,0.0497692,0,-0.0122718
-3.41886,-0.920388,-2.73786,-0.460194,0.0498899,0,-0.0122718
-3.41881,-0.920388,-2.73786,-0.460194,0.0499899,0,-0.0122718
-3.41876,-0.920388,-2.73786,-0.460194,0.0500727,0,-0.0138058
-3.41873,-0.920388,-2.73786,-0.460194,0.0501413,0,-0.0138058
-3.41869,-0.920388,-2.73786,-0.460194,0.0501981,0,-0.0138058
-3.41867,-0.920388,-2.73786,-0.460194,0.0502451,0,-0.0138058
-3.41865,-0.920388,-2.73786,-0.460194,0.0502841,0,-0.0138058
-3.41863,-0.920388,-2.73786,-0.460194,0.0503164,0,-0.0138058
-3.41862,-0.920388,-2.73786,-0.460194,0.0503431,0,-0.0138058
-3.41861,-0.920388,-2.73786,-0.460194,0.0503652,0,-0.0138058
-3.4186,-0.920388,-2.73786,-0.460194,0.0503835,0,-0.0138058
-3.41859,-0.920388,-2.73786,-0.460194,0.0503987,0,-0.0138058
-3.41858,-0.920388,-2.73786,-0.460194,0.0504113,0,-0.0138058
-3.41858,-0.920388,-2.73786,-0.460194,0.0504217,0,-0.0138058
-3.41857,-0.920388,-2.73786,-0.460194,0.0504303,0,-0.0138058
-3.41857,-0.920388,-2.73786,-0.460194,0.0504375,0,-0.0138058
-3.41856,-0.920388,-2.73786,-0.460194,0.0504434,0,-0.0138058
-3.41856,-0.920388,-2.73786,-0.460194,0.0504483,0,-0.0138058
-3.43676,-0.920388,-2.73786,-0.460194,0.0162622,0,-0.0153398
